OBJECTID,pointid,Elevation,FlowDirect,POINT_X,POINT_Y
568,568,150.0541077,32,287617.44,4783266.029
569,569,150.04039,128,287618.44,4783266.029
570,570,150.0084839,128,287619.44,4783266.029
571,571,150.00354,64,287620.44,4783266.029
572,572,150.0398407,32,287621.44,4783266.029
573,573,150.0758209,32,287622.44,4783266.029
574,574,150.0835114,128,287623.44,4783266.029
575,575,150.06073,64,287624.44,4783266.029
576,576,150.0501099,64,287625.44,4783266.029
577,577,150.0441895,32,287626.44,4783266.029
578,578,150.0923615,16,287627.44,4783266.029
579,579,150.1416016,32,287628.44,4783266.029
580,580,150.1649475,32,287629.44,4783266.029
581,581,150.167984,64,287630.44,4783266.029
582,582,150.1795807,64,287631.44,4783266.029
583,583,150.1718445,1,287632.44,4783266.029
584,584,150.1322174,1,287633.44,4783266.029
585,585,150.0831451,1,287634.44,4783266.029
586,586,150.0087433,64,287635.44,4783266.029
587,587,150.0040436,1,287636.44,4783266.029
588,588,149.9593964,128,287637.44,4783266.029
589,589,150.024353,1,287638.44,4783266.029
590,590,149.980072,1,287639.44,4783266.029
591,591,149.9463043,64,287640.44,4783266.029
592,592,150.1165161,16,287641.44,4783266.029
593,593,150.1777039,16,287642.44,4783266.029
594,594,150.1586151,1,287643.44,4783266.029
595,595,150.100235,128,287644.44,4783266.029
596,596,150.0240784,1,287645.44,4783266.029
597,597,149.9546356,4,287646.44,4783266.029
598,598,149.9803162,16,287647.44,4783266.029
599,599,149.9994507,8,287648.44,4783266.029
600,600,150.0133362,16,287649.44,4783266.029
601,601,150.0445557,16,287650.44,4783266.029
602,602,150.0617523,8,287651.44,4783266.029
603,603,150.0655365,1,287652.44,4783266.029
